Date;Activity;Details;Time;Involved People
17/03/2020;Organize;Purchase list for isolation in apartament;00:48:04;
17/03/2020;Cooking,messages,organization,preparation for go out,Shower;;01:34:13;
17/03/2020;Shopping;;05:54:19;
17/03/2020;Training;;05:55:00;
17/03/2020;Relax;;00:10:08;
17/03/2020;Work;;04:52:57;
18/03/2020;Sleep;;06:49:52;
18/03/2020;Work;;01:50:17;
18/03/2020;Eat;;00:59:08;
18/03/2020;Relax;;00:20:00;
18/03/2020;Work;;03:47:08;
18/03/2020;Eat;;02:03:21;
18/03/2020;Relax,mother's call,social networks;;00:51:06;Mother
18/03/2020;Work;Swap pc;03:27:32;
18/03/2020;Relax;;00:44:43;
18/03/2020;Eat;;00:57:59;
19/03/2020;Sleep;;08:39:51;
19/03/2020;Procrastination;;00:28:13;
19/03/2020;Organize,Cooking;;02:09:17;
19/03/2020;Organize,Cooking;;00:15:59;
19/03/2020;Eat;;00:34:29;
19/03/2020;Prepare for go out,Shopping;;01:54:07;
19/03/2020;Relax,Shower,Snack;;00:36:48;
19/03/2020;Orden and Cleanliness;;01:59:21;
19/03/2020;Eat,President's quarantine speech;;01:24:18;
19/03/2020;Message,Purge siren;;00:58:00;
19/03/2020;Study college;;01:06:27;
19/03/2020;Study college;;00:57:39;
20/03/2020;Sleep;;06:53:54;
20/03/2020;Work;;01:25:19;
20/03/2020;Cooking,Work,Eat;;01:50:20;
20/03/2020;Study college;;02:04:13;
20/03/2020;Work;;00:20:00;
20/03/2020;Relax,Eat;;00:54:53;
20/03/2020;Work;;01:34:04;
20/03/2020;Mother's call;;00:22:35;Mother
20/03/2020;Study college;;02:48:41;
20/03/2020;Cooking,Eat,Order and Cleanliness;;01:33:43;
21/03/2020;Sleep;;10:36:06;
21/03/2020;College,Messages;;02:32:51;
21/03/2020;Eat;;00:59:26;
21/03/2020;Messages,Relax;;00:21:09;
21/03/2020;College;;01:39:18;
21/03/2020;Mother's call;;00:26:07;Mother
21/03/2020;Snack,training;;00:44:04;
21/03/2020;Work;;01:04:01;
21/03/2020;Relax;;00:23:29;
21/03/2020;Work;;01:24:23;
21/03/2017;Eat,Sing;;00:55:51;
22/03/2020;Relax;;03:15:10;
22/03/2020;Coffee;;00:23:37;
22/03/2020;College;;01:13:41;
22/03/2020;Eat,Order and Cleanliness;;00:58:20;
22/03/2020;Work;;00:46:35;
22/03/2020;Shopping,Videocall with friends;;01:29:13;Nick,John,Ron
22/03/2020;Work;;04:34:46;
23/03/2020;Sleep;;09:00:38;
23/03/2020;College;;01:04:54;
23/03/2020;Cooking,eat,Sing;;00:53:11;
23/03/2020;College;;01:12:11;
23/03/2020;College;;00:58:51;
23/03/2020;Work;;02:00:00;
23/03/2020;Mother's call;;00:18:15;Mother
23/03/2020;Snack,Videogames;;00:03:25;
23/03/2020;Work;;01:01:58;
23/03/2020;Eat,Cooking,Sing,Videogames;;02:12:11;
24/03/2020;Messages;;01:04:18;
24/03/2020;Work;;00:24:14;
24/03/2020;Sleep;;09:01:23;
24/03/2020;Work;;02:16:31;
24/03/2020;Eat,training,videogames;;01:29:40;
24/03/2020;Work;;03:31:55;
24/03/2020;Videogames;;01:31:04;
24/03/2020;Work,Eat;;00:36:07;
24/03/2020;Eat,Videogames;;01:09:06;
25/03/2020;Sleep;;10:00:00;
25/03/2020;College;;01:13:00;
25/03/2020;College;;00:59:49;
25/03/2020;Work;;03:57:18;
26/03/2020;Sleep;;07:00:00;
26/03/2020;College;;03:36:48;
26/03/2020;Shopping,Eat;;02:20:00;
26/03/2020;College;;01:19:25;
26/03/2020;Training;;00:34:08;
26/03/2020;Relax,Mother's call;;00:45:47;Mother
26/03/2020;Cooking,eat;;01:53:55;
27/03/2020;Sleep;;01:00:21;
27/03/2020;Videocall;;00:23:16;
27/03/2020;Work;;02:08:17;
27/03/2020;Cooking,Eat,Training,Sing,Relax,Mother's call;;04:14:58;Mother
28/03/2020;Pay taxes;;01:36:21;
28/03/2020;Videogames with friends;;00:38:16;Nick,John,Ron
28/03/2020;College;;00:46:31;
28/03/2020;Videogames with friends;;01:25:47;Nick,John,Ron
28/03/2020;Eat;;00:24:22;
28/03/2020;Sleep;;11:03:36;
28/03/2020;Taxes,Shopping;;01:30:45;
28/03/2020;College;;00:18:52;
28/03/2020;Eat;;00:53:18;
28/03/2020;College;;01:15:00;
28/03/2020;Work;;02:58:44;
29/03/2020;Work,Eat,Cooking;;03:56:27;
29/03/2020;Eat;;00:49:41;
29/03/2020;Sleep;;07:00:00;
29/03/2020;College;;01:36:06;
29/03/2020;Eat,Order and Cleanliness,Videogames;;01:19:18;
29/03/2020;College;;01:50:46;
29/03/2020;Relax;;00:43:02;
29/03/2020;Work;;00:36:00;
29/03/2020;Eat;;00:34:36;
29/03/2020;Mother's call,Relax;;00:55:10;Mother
29/03/2020;Work;;02:25:44;
29/03/2020;Sleep;;11:00:00;
29/03/2020;Coffee,Shower;;01:06:54;
29/03/2020;College;;00:51:17;
29/03/2020;Training,Eat,Relax;;02:10:01;
29/03/2020;College;;02:18:58;
29/03/2020;Training,Eat;Bread with cheese and eggs;01:01:48;
29/03/2020;Work;;05:00:13;
31/03/2020;Sleep;;10:00:00;
31/03/2020;Messages;;00:27:58;
31/03/2020;College;;02:01:18;
31/03/2020;College;Bread with cheese, eggs and rice;01:16:18;
31/03/2020;College;;02:10:59;
01/04/2020;Work;;05:29:21;
01/04/2020;Eat,Cooking;Tuna,Eggs,Bread;00:30:25;
01/04/2020;Sleep;;07:23:12;
01/04/2020;Taxes,relax;;01:57:41;
01/04/2020;Virtual class,Eat,Training;;03:14:02;
01/04/2020;Twitter,news;;00:21:00;
01/04/2020;College;;01:52:26;
01/04/2020;College,Work;;04:00:29;
02/04/2020;Mother's call;;00:20:00;Mother
02/04/2020;Work,Cooking;;02:44.34;
02/04/2020;Eat;Potatos to oven with eggs;00:22:19;
02/04/2020;Sleep;;08:41:47;
02/04/2020;News;;00:38:13;
02/04/2020;Work;;02:36:19;
02/04/2020;College,Relax;;01:51:57;
02/04/2020;College;;01:43:18;
02/04/2020;Work;;00:32:53;
02/04/2020;College;;01:36:04;
02/04/2020;Work;;00:18:21;
02/04/2020;Cooking,Eat,Mother's call;;00:56:24;Mother
02/04/2020;Relax;;00:40:49;
03/04/2020;Sleep;;13:04:29;
03/04/2020;Work;;03:29:18;
03/04/2020;Cooking,eat;;00:45:11;
