Fecha;Actividad;Espcificacion;Tiempo;Personas Involucradas
17/03/2020;Organizar;Lista de compras para estar encerrado dos semanas en el departamento;00:48:04;
17/03/2020;Cocina,mensajes,organización,prepararse para salir+Baño;;01:34:13;
17/03/2020;Compras;;05:54:19;
17/03/2020;Ejercicio;;05:55:00;
17/03/2020;Descanso;;00:10:08;
17/03/2020;Trading;;04:52:57;
18/03/2020;Dormir;;06:49:52;
18/03/2020;Trading;;01:50:17;
18/03/2020;Comer;;00:59:08;
18/03/2020;Descanso;;00:20:00;
18/03/2020;Trading;;03:47:08;
18/03/2020;Comer;Tambien trading, ejercicio y orden;02:03:21;
18/03/2020;Digestión,llamada madre+redes sociales;;00:51:06;
18/03/2020;Trading;Graficando mercado;03:27:32;
18/03/2020;Descanso;;00:44:43;
18/03/2020;Comer;;00:57:59;
19/03/2020;Dormir;;08:39:51;
19/03/2020;Espavilar;;00:28:13;
19/03/2020;Organizar,Cocinar;;02:09:17;
19/03/2020;Organizar,Cocinar;;00:15:59;
19/03/2020;Comer;;00:34:29;
19/03/2020;Prepararse para salir,Compras;;01:54:07;
19/03/2020;Descanso,Baño,Tentenpie;;00:36:48;
19/03/2020;Orden y Limpieza;;01:59:21;
19/03/2020;Comer y discurso cuarentena;;01:24:18;
19/03/2020;Mensaje,Alarma purga;;00:58:00;
19/03/2020;Facultad Estudio;;01:06:27;
19/03/2020;Facultad Estudio;;00:57:39;
20/03/2020;Dormir;;06:53:54;
20/03/2020;Trading;;01:25:19;
20/03/2020;Cocina,Trading,comer;;01:50:20;
20/03/2020;Facultad Estudio;;02:04:13;
20/03/2020;Trading;;00:20:00;
20/03/2020;Descanso mas comer;;00:54:53;
20/03/2020;Caca;Fume mucho;00:08:00;
20/03/2020;Trading;;01:34:04;
20/03/2020;Llamada madre;;00:22:35;
20/03/2020;Facultad Estudio;;02:48:41;
20/03/2020;Cocina,Comer,Limpieza y orden;;01:33:43;
21/03/2020;Dormir;;10:36:06;
21/03/2020;Facultad,Mensajes;;02:32:51;
21/03/2020;Comer;;00:59:26;
21/03/2020;Mensajes,Descanso;;00:21:09;
21/03/2020;Facultad;;01:39:18;
21/03/2020;Llamada madre;;00:26:07;
21/03/2020;Tentenpie,ejecicio;;00:44:04;
21/03/2020;Trading;;01:04:01;
21/03/2020;Descanso;;00:23:29;
21/03/2020;Trading;;01:24:23;
21/03/2017;Comer,Canto;;00:55:51;
22/03/2020;Trading;;03:15:10;
22/03/2020;Faso y Café;;00:23:37;
22/03/2020;Facultad;;01:13:41;
22/03/2020;Comer,Limpieza y orden;;00:58:20;
22/03/2020;Trading;;00:46:35;
22/03/2020;Comprar faso,Videollamada pibes;;01:29:13;
22/03/2020;Trading;;04:34:46;
23/03/2020;Dormir;;09:00:38;
23/03/2020;Facultad;;01:04:54;
23/03/2020;Cocina,comer,Canto;;00:53:11;
23/03/2020;Facultad;;01:12:11;
23/03/2020;Facultad;;00:58:51;
23/03/2020;Trading;;02:00:00;
23/03/2020;Llamada madre;;00:18:15;
23/03/2020;Tentenpie y Jueguitos;;00:03:25;
23/03/2020;Trading;;01:01:58;
23/03/2020;Comer,Cocinar,Canto,Jueguitos;;02:12:11;
24/03/2020;Mensajes alcraneo;;01:04:18;
24/03/2020;Trading;;00:24:14;
24/03/2020;Dormir;;09:01:23;
24/03/2020;Trading;;02:16:31;
24/03/2020;Comer,ejercicio,jueguitos;;01:29:40;
24/03/2020;Trading;;03:31:55;
24/03/2020;Jueguitos;;01:31:04;
24/03/2020;Trading,Cocina;;00:36:07;
24/03/2020;Cocina,Jueguitos;;01:09:06;
25/03/2020;Dormir;;10:00:00;
25/03/2020;Facultad;;01:13:00;
25/03/2020;Facultad;;00:59:49;
25/03/2020;Trading;;03:57:18;
26/03/2020;Dormir;;07:00:00;
26/03/2020;Facultad;;03:36:48;
26/03/2020;Compra faso,Comer;;02:20:00;
26/03/2020;Facultad;;01:19:25;
26/03/2020;Ejercicio;;00:34:08;
26/03/2020;Descanso,Llamada madre;;00:45:47;
26/03/2020;Cocina,comer;;01:53:55;
27/03/2020;Dormir;;01:00:21;
27/03/2020;Videollamada;;00:23:16;
27/03/2020;Trading;;02:08:17;
27/03/2020;Cocina,Comer,Ejercicio,Canto,Descanso,Llamada madre;;04:14:58;
28/03/2020;Impuestos;;01:36:21;
28/03/2020;Jueguitos con amigos;;00:38:16;
28/03/2020;Facultad;;00:46:31;
28/03/2020;Jueguitos con amigos;;01:25:47;
28/03/2020;Comer;;00:24:22;
28/03/2020;Dormir;;11:03:36;
28/03/2020;Tramites y compra faso;;01:30:45;
28/03/2020;Facultad;;00:18:52;
28/03/2020;Comer;;00:53:18;
28/03/2020;Facultad;;01:15:00;
28/03/2020;Trading;;02:58:44;
29/03/2020;Trading,Canto,Cocinar;;03:56:27;
29/03/2020;Comer;;00:49:41;
29/03/2020;Dormir;;07:00:00;
29/03/2020;Facultad;;01:36:06;
29/03/2020;Comer,Orden y limpieza,Counter;;01:19:18;
29/03/2020;Facultad;;01:50:46;
29/03/2020;Descanso;;00:43:02;
29/03/2020;Trading;;00:36:00;
29/03/2020;Comer;;00:34:36;
29/03/2020;Llamada madre,Digestion;;00:55:10;
29/03/2020;Trading;;02:25:44;
29/03/2020;Dormir;;11:00:00;
29/03/2020;Fasito,Café,Baño;;01:06:54;
29/03/2020;Facultad;;00:51:17;
29/03/2020;Ejercicio,Comer,Fasito;;02:10:01;
29/03/2020;Facultad;;02:18:58;
29/03/2020;Ejercicio,Comer,Fumar;Pan con queso y huevos;01:01:48;
29/03/2020;Trading;;05:00:13;
31/03/2020;Dormir;;10:00:00;
31/03/2020;Mensajes;;00:27:58;
31/03/2020;Facultad;;02:01:18;
31/03/2020;Canto,cocina,Comer;Pan con queso y huevos y arroz;01:16:18;
31/03/2020;Facultad ;;02:10:59;
01/04/2020;Trading;;05:29:21;
01/04/2020;Comer,Cocinar;Atun,Huevos,Pan;00:30:25;
01/04/2020;Dormir;;07:23:12;
01/04/2020;Tramites,descanso;;01:57:41;
01/04/2020;Clase virtual,Comer,Ejercicio;;03:14:02;
01/04/2020;Twitter,noticias;;21:00;
01/04/2020;Facultad;;01:52:26;
01/04/2020;Facultad,Trading;;04:00:29;
02/04/2020;Llamada madre;;20:00;
02/04/2020;Trading,Cocina;;02:44.34;
02/04/2020;Comer;Papas al horno con huevos;00:22:19;
02/04/2020;Dormir;;08:41:47;
02/04/2020;Fasito,Noticias;;00:38:13;
02/04/2020;Trading;;02:36:19;
02/04/2020;Facultad,Descanso;;01:51:57;
02/04/2020;Facultad;;01:43:18;
02/04/2020;Trading;;00:32:53;
02/04/2020;Facultad;;01:36:04;
02/04/2020;Trading;;00:18:21;
02/04/2020;Cocinar,Comer,Llamada madre;;00:56:24;
02/04/2020;Descanso;;00:40:49;
03/04/2020;Dormir;;13:04:29;
03/04/2020;Trading;;03:29:18;
03/04/2020;Cocina,comer;;00:45:11;
03/04/2020;Trading;;04:10:52;
04/04/2020;Cocina,Comer,Canto,Llamada franco alcraneo;;02:28:36;
04/04/2020;Dormir;;08:30:00;
04/04/2020;Trading;;02:28:30;
04/04/2020;Descanso;Sin internet;00:10:51;
04/04/2020;Trading;;00:18:40;
04/04/2020;Cocinar,Comer,Canto,Ejercicio,Compra Fasito;;03:40:00;
04/04/2020;Trading;;02:29:26;
04/04/2020;Sin internet,Ordenar,Jueguitos;;03:00:14;
04/04/2020;Counter;;01:13:51;
05/04/2020;Dormir;;08:00:12;
05/04/2020;Renegando con internet ;;00:52:46;
05/04/2020;Trading;;03:18:32;
05/04/2020;Comer;;00:52:19;
05/04/2020;Trading;;04:24:15;
05/04/2020;Cocinar,Comer,Ordenar,Descanso;;02:08:48;
05/04/2020;Orden y Limpieza;;00:47:35;
06/04/2020;Dormir;;06:15:46;
06/04/2020;Café,Noticias;;00:21:51;
06/04/2020;Facultad;;03:57:05;
06/04/2020;Comer,Ejercicios,Mensajes;;01:20:48;
06/04/2020;Tramites ;Por internet;00:42:39;
06/04/2020;Descanso;;00:53:01;
06/04/2020;Facultad;;02:49:10;
06/04/2020;Cocinar ,Cantar,Comer,Descanso;;02:33:13;
06/04/2020;Llamada madre;;00:21:37;
07/04/2020;Facultad;;01:10:52;
07/04/2020;Counter con amigos;;01:26:48;
07/04/2020;Dormir;;07:38:56;
07/04/2020;Tramites;Internet;01:15:43;
07/04/2020;Facultad;;00:23:18;
07/04/2020;Tramites;;01:15:00;
07/04/2020;Facultad;;02:10:07;
07/04/2020;Cocinar,Comer;;01:19:11;
07/04/2020;Facultad;;05:12:11;
08/04/2020;Descanso,Canto,Comer;;01:24:12;
08/04/2020;Dormir;;08:24:11;
08/04/2020;Noticias y café;;00:27:58;
08/04/2020;Facultad;;03:58:51;
08/04/2020;Comer;Atun,Huevos;00:39:24;
08/04/2020;Ejercicio;;00:45:00;
08/04/2020;Facultad;;04:12:26;
08/04/2020;Comer,Counter con amigos;;02:40:38;
08/04/2020;Dormir;;08:40:45;
08/04/2020;Corte de luz,Guitarra;;00:52:38;
08/04/2020;Cocinar;;01:04:02;
08/04/2020;Facultad;;01:36:25;
08/04/2020;Comer,Descanso,Llamada madre,Alcraneo;;04:01:48;
10/04/2020;Trading;;00:54:02;
10/04/2020;Dormir;;07:57:00;
10/04/2020;Videos en youtube,Preparar Café;;00:17:30;
10/04/2020;Facultad;;02:13:43;
10/04/2020;Comer;Cocinar: Huevos,Comer: Huevos,Counter - Strike;00:33:42;
10/04/2020;Organizar;Compras;02:48:03;
10/04/2020;Comprar,Limpieza y orden,Descanso;;02:40:26;
