Date;Activity;Details;Time;Involved People
2020-03-17;Organize;Purchase list for isolation in apartament;00:48:04;
2020-03-17;Cooking,messages,organization,preparation for go out,Shower;;01:34:13;
2020-03-17;Shopping;;05:54:19;
2020-03-17;Training;;05:55:00;
2020-03-17;Relax;;00:10:08;
2020-03-17;Work;;04:52:57;
2020-03-18;Sleep;;06:49:52;
2020-03-18;Work;;01:50:17;
2020-03-18;Eat;;00:59:08;
2020-03-18;Relax;;00:20:00;
2020-03-18;Work;;03:47:08;
2020-03-18;Eat;;02:03:21;
2020-03-18;Relax,mother's call,social networks;;00:51:06;Mother
2020-03-18;Work;Swap pc;03:27:32;
2020-03-18;Relax;;00:44:43;
2020-03-18;Eat;;00:57:59;
2020-03-19;Sleep;;08:39:51;
2020-03-19;Procrastination;;00:28:13;
2020-03-19;Organize,Cooking;;02:09:17;
2020-03-19;Organize,Cooking;;00:15:59;
2020-03-19;Eat;;00:34:29;
2020-03-19;Prepare for go out,Shopping;;01:54:07;
2020-03-19;Relax,Shower,Snack;;00:36:48;
2020-03-19;Orden and Cleanliness;;01:59:21;
2020-03-19;Eat,President's quarantine speech;;01:24:18;
2020-03-19;Message,Purge siren;;00:58:00;
2020-03-19;Study college;;01:06:27;
2020-03-19;Study college;;00:57:39;
2020-03-20;Sleep;;06:53:54;
2020-03-20;Work;;01:25:19;
2020-03-20;Cooking,Work,Eat;;01:50:20;
2020-03-20;Study college;;02:04:13;
2020-03-20;Work;;00:20:00;
2020-03-20;Relax,Eat;;00:54:53;
2020-03-20;Work;;01:34:04;
2020-03-20;Mother's call;;00:22:35;Mother
2020-03-20;Study college;;02:48:41;
2020-03-20;Cooking,Eat,Order and Cleanliness;;01:33:43;
2020-03-21;Sleep;;10:36:06;
2020-03-21;College,Messages;;02:32:51;
2020-03-21;Eat;;00:59:26;
2020-03-21;Messages,Relax;;00:21:09;
2020-03-21;College;;01:39:18;
2020-03-21;Mother's call;;00:26:07;Mother
2020-03-21;Snack,training;;00:44:04;
2020-03-21;Work;;01:04:01;
2020-03-21;Relax;;00:23:29;
2020-03-21;Work;;01:24:23;
2017-03-21;Eat,Sing;;00:55:51;
2020-03-22;Relax;;03:15:10;
2020-03-22;Coffee;;00:23:37;
2020-03-22;College;;01:13:41;
2020-03-22;Eat,Order and Cleanliness;;00:58:20;
2020-03-22;Work;;00:46:35;
2020-03-22;Shopping,Videocall with friends;;01:29:13;Nick,John,Ron
2020-03-22;Work;;04:34:46;
2020-03-23;Sleep;;09:00:38;
2020-03-23;College;;01:04:54;
2020-03-23;Cooking,eat,Sing;;00:53:11;
2020-03-23;College;;01:12:11;
2020-03-23;College;;00:58:51;
2020-03-23;Work;;02:00:00;
2020-03-23;Mother's call;;00:18:15;Mother
2020-03-23;Snack,Videogames;;00:03:25;
2020-03-23;Work;;01:01:58;
2020-03-23;Eat,Cooking,Sing,Videogames;;02:12:11;
2020-03-24;Messages;;01:04:18;
2020-03-24;Work;;00:24:14;
2020-03-24;Sleep;;09:01:23;
2020-03-24;Work;;02:16:31;
2020-03-24;Eat,training,videogames;;01:29:40;
2020-03-24;Work;;03:31:55;
2020-03-24;Videogames;;01:31:04;
2020-03-24;Work,Eat;;00:36:07;
2020-03-24;Eat,Videogames;;01:09:06;
2020-03-25;Sleep;;10:00:00;
2020-03-25;College;;01:13:00;
2020-03-25;College;;00:59:49;
2020-03-25;Work;;03:57:18;
2020-03-26;Sleep;;07:00:00;
2020-03-26;College;;03:36:48;
2020-03-26;Shopping,Eat;;02:20:00;
2020-03-26;College;;01:19:25;
2020-03-26;Training;;00:34:08;
2020-03-26;Relax,Mother's call;;00:45:47;Mother
2020-03-26;Cooking,eat;;01:53:55;
2020-03-27;Sleep;;01:00:21;
2020-03-27;Videocall;;00:23:16;
2020-03-27;Work;;02:08:17;
2020-03-27;Cooking,Eat,Training,Sing,Relax,Mother's call;;04:14:58;Mother
2020-03-28;Pay taxes;;01:36:21;
2020-03-28;Videogames with friends;;00:38:16;Nick,John,Ron
2020-03-28;College;;00:46:31;
2020-03-28;Videogames with friends;;01:25:47;Nick,John,Ron
2020-03-28;Eat;;00:24:22;
2020-03-28;Sleep;;11:03:36;
2020-03-28;Taxes,Shopping;;01:30:45;
2020-03-28;College;;00:18:52;
2020-03-28;Eat;;00:53:18;
2020-03-28;College;;01:15:00;
2020-03-28;Work;;02:58:44;
2020-03-29;Work,Eat,Cooking;;03:56:27;
2020-03-29;Eat;;00:49:41;
2020-03-29;Sleep;;07:00:00;
2020-03-29;College;;01:36:06;
2020-03-29;Eat,Order and Cleanliness,Videogames;;01:19:18;
2020-03-29;College;;01:50:46;
2020-03-29;Relax;;00:43:02;
2020-03-29;Work;;00:36:00;
2020-03-29;Eat;;00:34:36;
2020-03-29;Mother's call,Relax;;00:55:10;Mother
2020-03-29;Work;;02:25:44;
2020-03-29;Sleep;;11:00:00;
2020-03-29;Coffee,Shower;;01:06:54;
2020-03-29;College;;00:51:17;
2020-03-29;Training,Eat,Relax;;02:10:01;
2020-03-29;College;;02:18:58;
2020-03-29;Training,Eat;Bread with cheese and eggs;01:01:48;
2020-03-29;Work;;05:00:13;
2020-03-31;Sleep;;10:00:00;
2020-03-31;Messages;;00:27:58;
2020-03-31;College;;02:01:18;
2020-03-31;College;Bread with cheese, eggs and rice;01:16:18;
2020-03-31;College;;02:10:59;
2020-04-01;Work;;05:29:21;
2020-04-01;Eat,Cooking;Tuna,Eggs,Bread;00:30:25;
2020-04-01;Sleep;;07:23:12;
2020-04-01;Taxes,relax;;01:57:41;
2020-04-01;Virtual class,Eat,Training;;03:14:02;
2020-04-01;Twitter,news;;00:21:00;
2020-04-01;College;;01:52:26;
2020-04-01;College,Work;;04:00:29;
2020-04-02;Mother's call;;00:20:00;Mother
2020-04-02;Work,Cooking;;02:44.34;
2020-04-02;Eat;Potatos to oven with eggs;00:22:19;
2020-04-02;Sleep;;08:41:47;
2020-04-02;News;;00:38:13;
2020-04-02;Work;;02:36:19;
2020-04-02;College,Relax;;01:51:57;
2020-04-02;College;;01:43:18;
2020-04-02;Work;;00:32:53;
2020-04-02;College;;01:36:04;
2020-04-02;Work;;00:18:21;
2020-04-02;Cooking,Eat,Mother's call;;00:56:24;Mother
2020-04-02;Relax;;00:40:49;
2020-04-03;Sleep;;13:04:29;
2020-04-03;Work;;03:29:18;
2020-04-03;Cooking,eat;;00:45:11;
2020-04-03;Work;;04:10:52;
2020-04-04;Cooking,Eat,Sing,Frank's call;;02:28:36;Frank
2020-04-04;Sleep;;08:30:00;
2020-04-04;Work;;02:28:30;
2020-04-04;Relax;No internet;00:10:51;
2020-04-04;Work;;00:18:40;
2020-04-04;Cooking,Eat,Sing,Training,Shopping;;03:40:00;
